Pedro González-Barrachina, University of Alicante;María Alfaro-Contreras, University of Alicante;Jorge Calvo-Zaragoza, University of Alicante	Pedro González-Barrachina, University of Alicante	María Alfaro-Contreras, University of Alicante	Jorge Calvo-Zaragoza, University of Alicante																
Elena Georgieva, NYU;Pablo Ripollés, New York University;Brian McFee, New York University	Elena Georgieva, NYU	Pablo Ripollés, New York University	Brian McFee, New York University																
Jiwoo Ryu, Sogang University;Hao-Wen Dong, University of Michigan;Jongmin Jung, Sogang University;Dasaem Jeong, Sogang University	Jiwoo Ryu, Sogang University	Hao-Wen Dong, University of Michigan	Jongmin Jung, Sogang University	Dasaem Jeong, Sogang University															
Yun-Han Lan, Taiwan AI Labs;Wen-Yi Hsiao, Taiwan AI Labs;Hao-Chung Cheng, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yun-Han Lan, Taiwan AI Labs	Wen-Yi Hsiao, Taiwan AI Labs	Hao-Chung Cheng, National Taiwan University	Yi-Hsuan Yang, National Taiwan University															
Noelia N Luna-Barahona, Universidad de Alicante;Adrián Roselló, Universidad de Alicante;María Alfaro-Contreras, University of Alicante;David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana;Jorge Calvo-Zaragoza, University of Alicante	Noelia N Luna-Barahona, Universidad de Alicante	Adrián Roselló, Universidad de Alicante	María Alfaro-Contreras, University of Alicante	David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana	Jorge Calvo-Zaragoza, University of Alicante														
Patricia Hu, Johannes Kepler University;Lukáš Samuel Marták, Johannes Kepler University Linz;Carlos Eduardo Cancino-Chacón, Johannes Kepler University Linz;Gerhard Widmer, Johannes Kepler University	Patricia Hu, Johannes Kepler University	Lukáš Samuel Marták, Johannes Kepler University Linz	Carlos Eduardo Cancino-Chacón, Johannes Kepler University Linz	Gerhard Widmer, Johannes Kepler University															
Tsung-Ping Chen, Kyoto University;Kazuyoshi Yoshii, Kyoto University	Tsung-Ping Chen, Kyoto University	Kazuyoshi Yoshii, Kyoto University																	
Sujoy Roychowdhury, Indian Institute of Technology Bombay;Preeti Rao, Indian Institute of Technology  Bombay;Sharat Chandran, IIT Bombay	Sujoy Roychowdhury, Indian Institute of Technology Bombay	Preeti Rao, Indian Institute of Technology  Bombay	Sharat Chandran, IIT Bombay																
Lidia J Morris, University of Washington;Rebecca Leger, Fraunhofer IIS;Michele Newman, University of Washington;John Ashley Burgoyne, University of Amsterdam;Ryan Groves, Self-employed;Natasha Mangal, CISAC;Jin Ha Lee, University of Washington	Lidia J Morris, University of Washington	Rebecca Leger, Fraunhofer IIS	Michele Newman, University of Washington	John Ashley Burgoyne, University of Amsterdam	Ryan Groves, Self-employed	Natasha Mangal, CISAC	Jin Ha Lee, University of Washington												
Jinlong ZHU, Hokkaido University;Keigo Sakurai, Hokkaido University;Ren Togo, Hokkaido University;Takahiro Ogawa, Hokkaido University;Miki Haseyama, Hokkaido University	Jinlong ZHU, Hokkaido University	Keigo Sakurai, Hokkaido University	Ren Togo, Hokkaido University	Takahiro Ogawa, Hokkaido University	Miki Haseyama, Hokkaido University														
Nicholas Cornia, Orpheus Instituut;Bruno Forment, Orpheus Instituut	Nicholas Cornia, Orpheus Instituut	Bruno Forment, Orpheus Instituut																	
Julian Lenz, Lemonaide ;Anirudh Mani, Lemonaide	Julian Lenz, Lemonaide 	Anirudh Mani, Lemonaide																	
Yu-Hua Chen, NTU;Yen-Tung Yeh, National Taiwan University;Yuan-Chiao Cheng, Positive Grid;Jui-Te Wu, Positive Grid; Yu-Hsiang Ho, Positive Grid ;Jyh-Shing Roger Jang, National Taiwan University;Yi-Hsuan Yang, National Taiwan University	Yu-Hua Chen, NTU	Yen-Tung Yeh, National Taiwan University	Yuan-Chiao Cheng, Positive Grid	Jui-Te Wu, Positive Grid	 Yu-Hsiang Ho, Positive Grid 	Jyh-Shing Roger Jang, National Taiwan University	Yi-Hsuan Yang, National Taiwan University												
Xingjian Du, University of Rochester;Zou Pei, ByteDance;Mingyu Liu, ByteDance;Xia Liang, Bytedance;Huidong Liang, University of Oxford;Minghang Chu, Bytedance;Zijie Wang, ByteDance;Bilei Zhu, ByteDance AI Lab	Xingjian Du, University of Rochester	Zou Pei, ByteDance	Mingyu Liu, ByteDance	Xia Liang, Bytedance	Huidong Liang, University of Oxford	Minghang Chu, Bytedance	Zijie Wang, ByteDance	Bilei Zhu, ByteDance AI Lab											
Eun Ji Oh, KAIST;Hyunjae Kim, KAIST;Kyung Myun Lee, KAIST	Eun Ji Oh, KAIST	Hyunjae Kim, KAIST	Kyung Myun Lee, KAIST																
Hendrik Vincent Koops, Universal Music Group;Gianluca Micchi, Universal Music Group;Elio Quinton, Universal Music Group	Hendrik Vincent Koops, Universal Music Group	Gianluca Micchi, Universal Music Group	Elio Quinton, Universal Music Group																
Takayuki Nakatsuka, National Institute of Advanced Industrial Science and Technology (AIST); Masahiro Hamasaki, National Institute of Advanced Industrial Science and Technology (AIST); Masataka Goto (National Institute of Advanced Industrial Science and Technology (AIST)	Takayuki Nakatsuka, National Institute of Advanced Industrial Science and Technology (AIST)	 Masahiro Hamasaki, National Institute of Advanced Industrial Science and Technology (AIST)	 Masataka Goto (National Institute of Advanced Industrial Science and Technology (AIST)																
Silas Antonisen, University of Granada;Iván López-Espejo, University of Granada	Silas Antonisen, University of Granada	Iván López-Espejo, University of Granada																	
Ngan V.T. Nguyen, University of Science, Vietnam Nation University Ho Chi Minh City;Elizabeth A.M. Acosta, Texas Tech University;Tommy Dang, Texas Tech University;David R.W. Sears, Texas Tech University	Ngan V.T. Nguyen, University of Science, Vietnam Nation University Ho Chi Minh City	Elizabeth A.M. Acosta, Texas Tech University	Tommy Dang, Texas Tech University	David R.W. Sears, Texas Tech University															
Muhammad Taimoor Haseeb, Mohamed bin Zayed University of Artificial Intelligence;Ahmad Hammoudeh, Mohamed bin Zayed University of Artificial Intelligence;Gus Xia, Mohamed bin Zayed University of Artificial Intelligence	Muhammad Taimoor Haseeb, Mohamed bin Zayed University of Artificial Intelligence	Ahmad Hammoudeh, Mohamed bin Zayed University of Artificial Intelligence	Gus Xia, Mohamed bin Zayed University of Artificial Intelligence																
Venkatakrishnan Vaidyanathapuram Krishnan, Georgia Institute of Technology;Noel Alben, Georgia Institute Of Technology;Anish Nair, Georgia Institute of Technology;Nathaniel Condit-Schultz, Georgia Institute of Technology	Venkatakrishnan Vaidyanathapuram Krishnan, Georgia Institute of Technology	Noel Alben, Georgia Institute Of Technology	Anish Nair, Georgia Institute of Technology	Nathaniel Condit-Schultz, Georgia Institute of Technology															
Robert Sowula, TU Wien;Peter Knees, TU Wien	Robert Sowula, TU Wien	Peter Knees, TU Wien																	
Lucas S Maia, Universidade Federal do Rio de Janeiro;Richa Namballa, New York University;Martín Rocamora, Universidad de la República;Magdalena Fuentes, New York University;Carlos Guedes, NYU Abu Dhabi	Lucas S Maia, Universidade Federal do Rio de Janeiro	Richa Namballa, New York University	Martín Rocamora, Universidad de la República	Magdalena Fuentes, New York University	Carlos Guedes, NYU Abu Dhabi														
Silvan David Peter, JKU;Gerhard Widmer, Johannes Kepler University	Silvan David Peter, JKU	Gerhard Widmer, Johannes Kepler University																	
Kartik Ohri, MetaBrainz Foundation Inc.;Robert Kaye, MetaBrainz Foundation Inc.	Kartik Ohri, MetaBrainz Foundation Inc.	Robert Kaye, MetaBrainz Foundation Inc.																	
Hitoshi Suda, National Institute of Advanced Industrial Science and Technology (AIST); Shunsuke Yoshida, The University of Tokyo; Tomohiko Nakamura, National Institute of Advanced Industrial Science and Technology (AIST); Satoru Fukayama, National Institute of Advanced Industrial Science and Technology (AIST); Jun Ogata, National Institute of Advanced Industrial Science and Technology (AIST)	Hitoshi Suda, National Institute of Advanced Industrial Science and Technology (AIST)	 Shunsuke Yoshida, The University of Tokyo	 Tomohiko Nakamura, National Institute of Advanced Industrial Science and Technology (AIST)	 Satoru Fukayama, National Institute of Advanced Industrial Science and Technology (AIST)	 Jun Ogata, National Institute of Advanced Industrial Science and Technology (AIST)														
Andrew M. Demetriou, Delft University of Technology;Jaehun Kim, Pandora / SiriusXM;Cynthia Liem, Delft University of Technology	Andrew M. Demetriou, Delft University of Technology	Jaehun Kim, Pandora / SiriusXM	Cynthia Liem, Delft University of Technology																
Johannes Zeitler, International Audio Laboratories Erlangen;Ben Maman, Tel Aviv University;Meinard Müller, International Audio Laboratories Erlangen	Johannes Zeitler, International Audio Laboratories Erlangen	Ben Maman, Tel Aviv University	Meinard Müller, International Audio Laboratories Erlangen																
Pedro Ramoneda, Universitat Pompeu Fabra;Vsevolod E Eremenko, Music Technology Group at Universitat Pompeu Fabra;Alexandre D'Hooge, Université de Lille;Emilia Parada-Cabaleiro, Nuremberg University of Music;Xavier Serra, Universitat Pompeu Fabra	Pedro Ramoneda, Universitat Pompeu Fabra	Vsevolod E Eremenko, Music Technology Group at Universitat Pompeu Fabra	Alexandre D'Hooge, Université de Lille	Emilia Parada-Cabaleiro, Nuremberg University of Music	Xavier Serra, Universitat Pompeu Fabra														
Ju-Chiang Wang, ByteDance;Wei-Tsung Lu, New Your University;Jitong Chen, ByteDance	Ju-Chiang Wang, ByteDance	Wei-Tsung Lu, New Your University	Jitong Chen, ByteDance																
Andrew C Edwards, QMUL;Xavier Riley, C4DM;Pedro Pereira Sarmento, Centre for Digital Music;Simon Dixon, Queen Mary University of London	Andrew C Edwards, QMUL	Xavier Riley, C4DM	Pedro Pereira Sarmento, Centre for Digital Music	Simon Dixon, Queen Mary University of London															
Marco Pasini, Queen Mary University of London;Stefan Lattner, Sony Computer Science Laboratories, Paris;George Fazekas, QMUL	Marco Pasini, Queen Mary University of London	Stefan Lattner, Sony Computer Science Laboratories, Paris	George Fazekas, QMUL																
Nathaniel Condit-Schultz, Georgia Institute of Technology	Nathaniel Condit-Schultz, Georgia Institute of Technology																		
Jingyue Huang, New York University;Ke Chen, University of California San Diego;Yi-Hsuan Yang, National Taiwan University	Jingyue Huang, New York University	Ke Chen, University of California San Diego	Yi-Hsuan Yang, National Taiwan University																
Jyoti Narang, Student;Nazif Can Tamer, Universitat Pompeu Fabra;Viviana De La Vega, Escola Superior de Música de Catalunya;Xavier Serra, Universitat Pompeu Fabra	Jyoti Narang, Student	Nazif Can Tamer, Universitat Pompeu Fabra	Viviana De La Vega, Escola Superior de Música de Catalunya	Xavier Serra, Universitat Pompeu Fabra															
Nils Demerlé, IRCAM;Philippe  Esling, IRCAM;Guillaume Doras, Ircam;David Genova, Ircam	Nils Demerlé, IRCAM	Philippe  Esling, IRCAM	Guillaume Doras, Ircam	David Genova, Ircam															
Kun Fang, McGill University;Ziyu Wang, NYU Shanghai;Gus Xia, New York University Shanghai;Ichiro Fujinaga, McGill University	Kun Fang, McGill University	Ziyu Wang, NYU Shanghai	Gus Xia, New York University Shanghai	Ichiro Fujinaga, McGill University															
Zach Evans, Stability AI;Julian D Parker, Stability AI;CJ Carr, Stability AI;Zachary Zuckowski, Stability AI;Josiah Taylor, Stability AI;Jordi Pons, Stability AI	Zach Evans, Stability AI	Julian D Parker, Stability AI	CJ Carr, Stability AI	Zachary Zuckowski, Stability AI	Josiah Taylor, Stability AI	Jordi Pons, Stability AI													
Seikoh Fukuda, PTNA Research Institute of Music;Yuko Fukuda, Kyoritsu Women’s University, To-on Kikaku Company;Ami Motomura, To-on Kikaku Company;Eri Sasao, To-on Kikaku Company;Masamichi Hosoda, NTT East Corporation;Masaki Matsubara, University of Tsukuba;Masahiro Niitsuma, Keio University	Seikoh Fukuda, PTNA Research Institute of Music	Yuko Fukuda, Kyoritsu Women’s University, To-on Kikaku Company	Ami Motomura, To-on Kikaku Company	Eri Sasao, To-on Kikaku Company	Masamichi Hosoda, NTT East Corporation	Masaki Matsubara, University of Tsukuba	Masahiro Niitsuma, Keio University												
Juan Carlos Martinez-Sevilla, University of Alicante;David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana;Jorge Calvo-Zaragoza, University of Alicante	Juan Carlos Martinez-Sevilla, University of Alicante	David Rizo, University of Alicante. Instituto Superior de Enseñanzas Artísrticas de la Comunidad Valenciana	Jorge Calvo-Zaragoza, University of Alicante																
Andre Holzapfel, KTH Royal Institute of Technology in Stockholm;Anna-Kaisa Kaila, KTH Royal Institute of Technology, Stockholm;Petra Jääskeläinen, KTH	Andre Holzapfel, KTH Royal Institute of Technology in Stockholm	Anna-Kaisa Kaila, KTH Royal Institute of Technology, Stockholm	Petra Jääskeläinen, KTH																
Léo Géré, Cnam;Nicolas Audebert, IGN;Philippe Rigaux, Cnam	Léo Géré, Cnam	Nicolas Audebert, IGN	Philippe Rigaux, Cnam																
Hugo T. Carvalho, Federal University of Rio de Janeiro;Min S. Li, University of Birmingham;Massimiliano Di Luca, University of Birmingham;Alan M. Wing, University of Birmingham	Hugo T. Carvalho, Federal University of Rio de Janeiro	Min S. Li, University of Birmingham	Massimiliano Di Luca, University of Birmingham	Alan M. Wing, University of Birmingham															
Christian J. Steinmetz, Queen Mary University of London;Shubhr singh, Queen Mary University of London;Marco Comunita, Queen Mary University of London;Ilias Ibnyahya, Queen Mary University of London;Shanxin Yuan, Queen Mary University of London;Emmanouil Benetos, Queen Mary University of London;Joshua D. Reiss, Queen Mary University of London	Christian J. Steinmetz, Queen Mary University of London	Shubhr singh, Queen Mary University of London	Marco Comunita, Queen Mary University of London	Ilias Ibnyahya, Queen Mary University of London	Shanxin Yuan, Queen Mary University of London	Emmanouil Benetos, Queen Mary University of London	Joshua D. Reiss, Queen Mary University of London												
Yujia Yan, University of Rochester;Zhiyao Duan, University of Rochester	Yujia Yan, University of Rochester	Zhiyao Duan, University of Rochester																	
Malcolm Sailor, Yale University	Malcolm Sailor, Yale University																		
Owen Green, Max Planck Institute for Empirical Aesthetics;Bob L. T.  Sturm, KTH Royal Institute of Technology;Georgina Born, University College London;Melanie Wald-Fuhrmann, Max Planck Institute for Empirical Aesthetics	Owen Green, Max Planck Institute for Empirical Aesthetics	Bob L. T.  Sturm, KTH Royal Institute of Technology	Georgina Born, University College London	Melanie Wald-Fuhrmann, Max Planck Institute for Empirical Aesthetics															
Francesco Foscarin, Johannes Kepler University Linz;Jan Schlüter, JKU Linz;Gerhard Widmer, Johannes Kepler University	Francesco Foscarin, Johannes Kepler University Linz	Jan Schlüter, JKU Linz	Gerhard Widmer, Johannes Kepler University																
Saebyul Park, KAIST;Halla Kim, KAIST;Jiye Jung, Heinrich Heine University Düsseldorf;Juyong Park, KAIST;Jeounghoon Kim, KAIST;Juhan Nam, KAIST	Saebyul Park, KAIST	Halla Kim, KAIST	Jiye Jung, Heinrich Heine University Düsseldorf	Juyong Park, KAIST	Jeounghoon Kim, KAIST	Juhan Nam, KAIST													
Hyon Kim, Universitat Pompeu Fabra;Xavier Serra, Universitat Pompeu Fabra	Hyon Kim, Universitat Pompeu Fabra	Xavier Serra, Universitat Pompeu Fabra																	
Tomoyasu Nakano, National Institute of Advanced Industrial Science and Technology (AIST); Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST)	Tomoyasu Nakano, National Institute of Advanced Industrial Science and Technology (AIST)	 Masataka Goto, National Institute of Advanced Industrial Science and Technology (AIST)																	
Yannis Vasilakis, Queen Mary University of London;Rachel Bittner, Spotify;Johan Pauwels, Queen Mary University of London	Yannis Vasilakis, Queen Mary University of London	Rachel Bittner, Spotify	Johan Pauwels, Queen Mary University of London																
Danbinaerin Han, KAIST;Mark R H Gotham, Durham;DongMin Kim, Sogang University;Hannah Park, Sogang University;Sihun Lee, Sogang University;Dasaem Jeong, Sogang University	Danbinaerin Han, KAIST	Mark R H Gotham, Durham	DongMin Kim, Sogang University	Hannah Park, Sogang University	Sihun Lee, Sogang University	Dasaem Jeong, Sogang University													
Pavani B Chowdary, International Institute of Information Technology, Hyderabad;Bhavyajeet Singh, International Institute of Information Technology, Hyderabad ;Rajat Agarwal, International Institute of Information Technology;Vinoo  Alluri, IIIT - Hyderabad	Pavani B Chowdary, International Institute of Information Technology, Hyderabad	Bhavyajeet Singh, International Institute of Information Technology, Hyderabad 	Rajat Agarwal, International Institute of Information Technology	Vinoo  Alluri, IIIT - Hyderabad															
Shangda Wu, Central Conservatory of Music;Yashan Wang, Central Conservatory of Music;Xiaobing Li, Central Conservatory of Music;Feng Yu, Central Conservatory of Music;Maosong Sun, Tsinghua University	Shangda Wu, Central Conservatory of Music	Yashan Wang, Central Conservatory of Music	Xiaobing Li, Central Conservatory of Music	Feng Yu, Central Conservatory of Music	Maosong Sun, Tsinghua University														
Tim Beyer, Technical University of Munich;Angela Dai, Technical University of Munich	Tim Beyer, Technical University of Munich	Angela Dai, Technical University of Munich																	
Vjosa Preniqi, Queen Mary University of London;Iacopo Ghinassi, Queen Mary University of London;Julia Ive, Queen Mary University of London;Kyriaki Kalimeri, ISI Foundation;Charalampos Saitis, Queen Mary University of London	Vjosa Preniqi, Queen Mary University of London	Iacopo Ghinassi, Queen Mary University of London	Julia Ive, Queen Mary University of London	Kyriaki Kalimeri, ISI Foundation	Charalampos Saitis, Queen Mary University of London														
Stephen Hahn, Duke;Weihan Xu, duke;Zirui Yin, Duke University;Rico Zhu, Duke University;Simon Mak, Duke University;Yue Jiang, Duke University;Cynthia Rudin, Duke	Stephen Hahn, Duke	Weihan Xu, duke	Zirui Yin, Duke University	Rico Zhu, Duke University	Simon Mak, Duke University	Yue Jiang, Duke University	Cynthia Rudin, Duke												
Haonan Chen, Bytedance Inc.;Jordan B. L. Smith, TikTok;Janne Spijkervet, University of Amsterdam;Ju-Chiang Wang, ByteDance;Pei Zou, Bytedance Inc.;Bochen Li, University of Rochester;Qiuqiang Kong, Byte Dance;Xingjian Du, University of Rochester	Haonan Chen, Bytedance Inc.	Jordan B. L. Smith, TikTok	Janne Spijkervet, University of Amsterdam	Ju-Chiang Wang, ByteDance	Pei Zou, Bytedance Inc.	Bochen Li, University of Rochester	Qiuqiang Kong, Byte Dance	Xingjian Du, University of Rochester											
Irmak Bukey, Carnegie Mellon University;Michael Feffer, Carnegie Mellon University;Chris Donahue, CMU	Irmak Bukey, Carnegie Mellon University	Michael Feffer, Carnegie Mellon University	Chris Donahue, CMU																
Ziya Zhou, HKUST;Yuhang Wu, Multimodal Art Projection;Zhiyue Wu, Shenzhen University;Xinyue Zhang, Multimodal Art Projection;Ruibin Yuan, CMU;Yinghao MA, Queen Mary University of London;Lu Wang, Shenzhen University;Emmanouil Benetos, Queen Mary University of London;Wei Xue, The Hong Kong University of Science and Technology;Yike Guo, Hong Kong University of Science and Technology	Ziya Zhou, HKUST	Yuhang Wu, Multimodal Art Projection	Zhiyue Wu, Shenzhen University	Xinyue Zhang, Multimodal Art Projection	Ruibin Yuan, CMU	Yinghao MA, Queen Mary University of London	Lu Wang, Shenzhen University	Emmanouil Benetos, Queen Mary University of London	Wei Xue, The Hong Kong University of Science and Technology	Yike Guo, Hong Kong University of Science and Technology									
Arthur Flexer, Johannes Kepler University Linz	Arthur Flexer, Johannes Kepler University Linz																		
